Date;Day;MUC Total;Active Cases;MUC Recovered;Deaths (sum);MUC New Infections;Correction;RKI New Infections;Diff MUC RKI;Diff same day last week;Active Cases (change);Recovered (change);Death (change);Deaths 7D Sum;MUC 7 day sum;RKI 7 day sum;DIFF 7DI;MUC 7 Day Incidence;RKI 7 Day Incidence;Official RKI 7D Inc;To 10;To 35;To 50;To 100;Test Pos Rate BY;Daily Tests BY;Daily Test BY Pos;Daily test avg 7 days;Beds;IMC;ICU;SUM;Change over 7D;Diff 7 Day Incidence;Naive R(t) 4D;Naive R(t) 7D;Diff 7D DoD;Diff 7D WoW;Var Lab WoW;Active WoW;RKI Total;Diff Total;RKI 7D Diff last week;7D avg weekly chg;BAV 1st Vacc Total;BAV 2nd Vacc Total;BAV 3rd Vacc Total;BAV 4th Vacc Total;BAV 1st Vacc %;BAV 1st Vacc Day;BAV 1st Vacc Avg;BAV 1st Vacc 7D;BAV 2nd Vacc %;BAV 2nd Vacc Day;BAV 2nd Vacc Avg;BAV 2nd Vacc 7D;BAV 3rd Vacc %;BAV 3rd Vacc Day;BAV 3rd Vacc Avg;BAV 3rd Vacc 7D;BAV 4th Vacc %;BAV 4th Vacc Day;BAV 4th Vacc Avg;BAV 4th Vacc 7D;MUC 1st Vacc Total;MUC 1st Vacc Day;MUC 1st Vacc%;MUC 2nd Vacc Total;MUC 2nd Vacc Day;MUC 2nd Vacc%;MUC 3rd Vacc Total;MUC 3rd Vacc Day;MUC 3rd Vacc%;MUC 4th Vacc Total;MUC 4th Vacc Day;MUC 4th Vacc %;7D Hosp;7D Hosp Incidence;LGL ICU;IVENA Total;% 7D SUM of IVENA;YELLOW %;RED %;7D DIFF TOTAL;ICU to Total %;7D Hosp Corrected;7D Hosp Inc Corr;R(t) LMU;7D Hosp Nowcast;Diff Hosp %;LMU Hosp reported;7D;LMU Hosp Nowcast;7D
2020-02-28;Fri, 28;5;2;3;0;2;0;5;-3;;;;;;;;;0,0;0,0;;147;518;741;1482;;;;;;;;;;;;;;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;0;0,00;;;;4;;4;
2020-02-29;Sat, 29;5;2;3;0;0;0;0;0;;0;0;0;;2;5;;0,1;0,3;;144;515;738;1479;;;;;;;;;;;;;;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;4;0,03;;;;8;;8;
2020-03-01;Sun, 1;5;2;3;0;0;0;0;0;;0;0;0;;2;5;;0,1;0,3;;144;515;738;1479;;;;;;;;;;;;;0 %;;;;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;5;0,04;;;;7;;7;
2020-03-02;Mon, 2;8;5;3;0;3;0;3;0;;3;0;0;;5;8;;0,3;0,5;;141;512;735;1476;;;;;;;;;;;;;60 %;;;;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;10;0,08;;;;8;;8;
2020-03-03;Tue, 3;9;6;3;0;1;0;1;0;;1;0;0;;6;9;;0,4;0,6;;140;511;734;1475;;;;;;;;;;;;;13 %;;;;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;12;0,09;;;;6;;6;
2020-03-04;Wed, 4;12;9;3;0;3;0;3;0;;3;0;0;;9;12;;0,6;0,8;;137;508;731;1472;;;;;;;;;;;;;33 %;;;;12;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;16;0,12;;;;11;;11;
2020-03-05;Thu, 5;14;11;3;0;2;0;2;0;;2;0;0;;11;14;;0,7;0,9;;140;511;734;1475;;;;;;;;;;;;;17 %;;;;14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;22;0,17;;59;268,2 %;15;59;15;59
2020-03-06;Fri, 6;27;24;3;0;13;0;13;0;160,0 %;13;0;0;0;22;22;;1,5;1,5;;127;498;721;1462;;;;;;;;;;;;;57 %;;;;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;48;0,37;;76;158,3 %;21;76;21;76
2020-03-07;Sat, 7;27;24;3;0;0;0;0;0;;0;0;0;0;22;22;;1,5;1,5;;127;498;721;1462;;;;;;;;;;;2,59;;0 %;340,0 %;;22;27;0;17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;51;0,39;3,75;97;190,2 %;29;97;29;97
2020-03-08;Sun, 8;27;24;3;0;0;0;0;0;;0;0;0;0;22;22;;1,5;1,5;;130;501;724;1465;;;;;;;;;;;2,35;;0 %;340,0 %;;22;27;0;17;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;52;0,40;5,05;103;198,1 %;13;103;13;103
2020-03-09;Mon, 9;50;45;5;0;23;0;23;0;666,7 %;21;2;0;0;42;42;;2,8;2,8;;108;479;702;1443;;;;;;;;;;;2,51;2,70;91 %;425,0 %;;40;50;0;34;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;53;0,40;3,01;108;203,8 %;13;108;13;108
2020-03-10;Tue, 10;81;76;5;0;31;0;31;0;3000,0 %;31;0;0;0;72;72;;4,9;4,9;;80;451;674;1415;;;;;;;;;;;2,77;2,75;71 %;700,0 %;;70;81;0;63;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;69;0,53;2,43;137;198,6 %;35;137;35;137
2020-03-11;Wed, 11;103;99;5;0;22;0;23;-1;666,7 %;23;0;0;0;91;92;;6,1;6,2;;60;431;654;1395;;;;;;;;;;;3,26;3,11;28 %;666,7 %;;90;104;-1;80;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;77;0,59;2,10;163;211,7 %;37;163;37;163
2020-03-12;Thu, 12;121;117;5;0;18;0;18;0;800,0 %;18;0;0;0;107;108;;7,2;7,3;;54;425;648;1389;;;;;;;;;;;3,93;3,49;17 %;671,4 %;;106;122;-1;94;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;85;0,65;1,98;177;208,2 %;29;177;29;177
2020-03-13;Fri, 13;169;162;8;0;48;0;48;0;269,2 %;45;3;0;0;142;143;;9,6;9,6;;6;377;600;1341;;;;;;;;;;;3,84;3,50;32 %;550,0 %;;138;170;-1;121;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;83;0,63;1,98;188;226,5 %;32;188;32;188
2020-03-14;Sat, 14;233;225;9;0;64;0;64;0;;63;1;0;0;206;207;;13,9;13,9;;-58;313;536;1277;;;;;;;;;;;3,48;3,33;45 %;840,9 %;;201;234;-1;185;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;94;0,72;1,99;209;222,3 %;50;209;50;209
2020-03-15;Sun, 15;252;241;12;0;19;0;19;0;;16;3;0;0;225;226;;15,2;15,2;;-54;317;540;1281;;;;;;;;;;;3,00;3,11;9 %;927,3 %;;217;253;-1;204;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;118;0,90;2,04;237;200,8 %;41;237;41;237
2020-03-16;Mon, 16;319;306;14;0;67;0;67;0;191,3 %;65;2;0;0;269;270;;18,1;18,2;;-90;281;504;1245;;;;;;;;;;;2,69;2,94;19 %;542,9 %;;261;320;-1;228;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;140;1,07;2,14;257;183,6 %;33;257;33;257
2020-03-17;Tue, 17;463;437;27;0;144;0;144;0;364,5 %;131;13;0;0;382;383;;25,7;25,8;;-211;160;383;1124;;;;;;;;;;;2,62;2,85;42 %;431,9 %;;361;464;-1;311;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;157;1,19;2,23;291;185,4 %;69;291;69;291
2020-03-18;Wed, 18;675;649;27;0;212;0;212;0;821,7 %;212;0;0;0;572;572;;38,5;38,5;;-405;-34;189;930;;;;;;;;;;;2,64;2,78;49 %;521,7 %;;550;676;-1;480;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;225;1,71;2,28;333;148,0 %;79;333;79;333
2020-03-19;Thu, 19;848;822;27;0;173;0;173;0;861,1 %;173;0;0;0;727;727;;49,0;49,0;;-530;-159;64;805;;;;;;;;;;;2,85;2,84;27 %;573,1 %;;705;849;-1;619;307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;;;;;;;;288;2,19;2,31;412;143,1 %;108;412;108;412
2020-03-20;Fri, 20;1043;994;50;0;195;0;195;0;306,3 %;172;23;0;0;874;874;;58,9;58,9;;-661;-290;-67;674;;;;;;;;;;;3,02;2,92;20 %;511,2 %;;832;1044;-1;731;394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;61;;;;10,17 %;;;363;2,76;2,31;499;137,5 %;119;499;119;499
2020-03-21;Sat, 21;1219;1139;81;0;176;0;176;0;175,0 %;145;31;0;0;986;986;;66,4;66,4;;-818;-447;-224;517;;;;;;;;;;;2,91;2,83;13 %;376,3 %;;914;1220;-1;779;479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;67;;;;11,17 %;;;491;3,74;2,23;611;124,4 %;162;611;162;611
2020-03-22;Sun, 22;1307;1204;104;2;88;0;88;0;363,2 %;65;23;2;2;1055;1055;;71,1;71,1;;-839;-468;-245;496;;;;;;;;;;;2,51;2,55;7 %;366,8 %;;963;1308;-1;829;568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;82;;;;13,67 %;;;553;4,21;2,11;702;126,9 %;132;702;132;702
2020-03-23;Mon, 23;1401;1280;122;2;94;0;94;0;40,3 %;76;18;0;2;1082;1082;;72,9;72,9;;-789;-418;-195;546;;;;;;;;;;;2,05;2,25;3 %;300,7 %;;974;1402;-1;812;652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;94;;;;15,67 %;;;652;4,96;2,00;790;121,2 %;121;790;121;790
2020-03-24;Tue, 24;1570;1402;170;2;169;0;170;-1;18,1 %;122;48;0;2;1107;1108;;74,6;74,7;;-746;-375;-152;589;;;;;;;;;;;1,66;1,97;2 %;189,3 %;;965;1572;-2;725;711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;123;;;;20,50 %;;;816;6,21;1,90;923;113,1 %;202;923;202;923
2020-03-25;Wed, 25;1809;1577;234;2;239;0;239;0;12,7 %;175;64;0;2;1134;1135;;76,4;76,5;;-813;-442;-219;522;;;;;;;;;;;1,39;1,73;2 %;98,4 %;;928;1811;-2;563;723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;132;;;;22,00 %;;;982;7,47;1,77;1056;107,5 %;212;1056;212;1056
2020-03-26;Thu, 26;2066;1815;253;3;257;0;257;0;48,6 %;238;19;1;3;1218;1219;;82,1;82,1;;-875;-504;-281;460;;;;;;;;;;;1,25;1,53;7 %;67,7 %;;993;2068;-2;492;704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;145;;;;24,17 %;;;1140;8,68;1,66;1176;103,2 %;228;1176;228;1176
2020-03-27;Fri, 27;2323;2006;320;3;257;0;258;-1;32,3 %;191;67;0;3;1280;1282;;86,2;86,4;;-956;-585;-362;379;;;;;;;;;;;1,19;1,39;5 %;46,7 %;;1012;2326;-3;408;658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;160;;;;26,67 %;;;1291;9,82;1,53;1299;100,6 %;241;1298;241;1298
2020-03-28;Sat, 28;2462;2001;464;3;139;0;139;0;-21,0 %;-5;144;0;3;1243;1245;;83,7;83,9;;-1008;-637;-414;327;;;;;;;;;;;1,15;1,27;-3 %;26,3 %;;862;2465;-3;259;584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;195;;;;32,50 %;;;1378;10,49;1,37;1431;103,8 %;294;1430;294;1430
2020-03-29;Sun, 29;2640;1967;676;3;178;0;178;0;102,3 %;-34;212;0;1;1333;1335;;89,8;89,9;;-1092;-721;-498;243;;;;;;;;;;;1,16;1,21;7 %;26,5 %;;763;2643;-3;280;506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;219;;;;36,50 %;;;1463;11,13;1,24;1523;104,1 %;224;1522;224;1522
2020-03-30;Mon, 30;2754;1907;849;5;114;0;113;1;20,2 %;-60;173;2;3;1353;1354;;91,2;91,2;;-1036;-665;-442;299;;;;;;;;;;;1,15;1,16;1 %;25,1 %;;627;2756;-2;272;428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;257;;;;42,83 %;;;1537;11,70;1,15;1587;103,3 %;185;1586;185;1586
2020-03-31;Tue, 31;3064;2022;1044;5;310;0;310;0;82,4 %;115;195;0;3;1494;1494;;100,7;100,7;;-1106;-735;-512;229;;;;;;;;;;;1,14;1,15;10 %;34,8 %;;620;3066;-2;386;380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;378;;;;63,00 %;;;1666;12,68;1,09;1717;103,1 %;332;1716;332;1716
2020-04-01;Wed, 1;3295;2077;1220;9;231;0;231;0;-3,3 %;55;176;4;7;1486;1486;;100,1;100,1;;-1080;-709;-486;255;;;;;;;;;;;1,16;1,16;-1 %;30,9 %;;500;3297;-2;351;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;459;;;;76,50 %;;;1741;13,25;1,03;1754;100,7 %;249;1753;249;1753
2020-04-02;Thu, 2;3438;2132;1308;9;143;0;143;0;-44,4 %;55;88;0;6;1372;1372;;92,4;92,4;;-965;-594;-371;370;;;;;;;;;;;1,12;1,14;-8 %;12,6 %;;317;3440;-2;153;301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;534;;;;89,00 %;;;1826;13,90;1,01;1776;97,3 %;250;1775;250;1775
2020-04-03;Fri, 3;3616;2215;1402;12;178;0;177;1;-31,4 %;83;94;3;9;1293;1291;;87,1;87,0;;-1004;-633;-410;331;;;;;;;;;;;1,08;1,10;-6 %;0,7 %;;209;3617;-1;9;244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;587;;;;97,83 %;;;1828;13,91;1,00;1780;97,4 %;246;1780;246;1780
2020-04-04;Sat, 4;3751;2179;1572;12;135;0;134;1;-3,6 %;-36;170;0;9;1289;1286;;86,8;86,6;;-960;-589;-366;375;;;;;;;;;;;1,00;1,06;-0 %;3,3 %;;178;3751;0;41;213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;641;;;;106,83 %;;;1820;13,85;0,97;1736;95,4 %;250;1736;250;1736
2020-04-05;Sun, 5;3835;2024;1811;14;84;0;84;0;-52,8 %;-155;239;2;11;1195;1192;;80,5;80,3;;-930;-559;-336;405;;;;;;;;;;;0,91;1,01;-7 %;-10,7 %;;57;3835;0;-143;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;636;;;;106,00 %;;;1797;13,68;0,95;1671;93,0 %;159;1671;159;1671
2020-04-06;Mon, 6;3953;1885;2068;16;118;0;118;0;4,4 %;-139;257;2;11;1199;1197;;80,8;80,6;;-738;-367;-144;597;;;;;;;;;;;0,87;0,97;0 %;-11,6 %;;-22;3953;0;-157;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;626;;;;104,33 %;;;1793;13,65;0,92;1622;90,5 %;136;1622;136;1622
2020-04-07;Tue, 7;4094;1768;2326;18;141;0;141;0;-54,5 %;-117;258;2;13;1030;1028;;69,4;69,3;;-648;-277;-54;687;;;;;;;;;;;0,83;0,92;-14 %;-31,2 %;;-254;4094;0;-466;-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;645;;;;107,50 %;;;1694;12,89;0,90;1501;88,6 %;211;1501;211;1501
2020-04-08;Wed, 8;4251;1784;2465;24;157;0;155;2;-32,9 %;16;139;6;15;956;952;;64,4;64,1;;-662;-291;-68;673;;;;;;;;;;;0,80;0,86;-7 %;-35,9 %;;-293;4249;2;-534;-157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;661;;;;110,17 %;;;1607;12,23;0,88;1444;89,9 %;192;1444;192;1444
2020-04-09;Thu, 9;4363;1718;2643;32;112;0;112;0;-21,7 %;-66;178;8;23;925;921;;62,3;62,1;;-595;-224;-1;740;;;;;;;;;;;0,80;0,83;-3 %;-32,9 %;;-414;4361;2;-451;-243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;661;;;;110,17 %;;;1490;11,34;0,87;1360;91,3 %;166;1360;166;1360
2020-04-10;Fri, 10;4461;1703;2756;42;98;0;98;0;-44,6 %;-15;113;10;30;845;842;;56,9;56,7;;-559;-188;35;776;;;;;;;;;;;0,75;0,80;-9 %;-34,8 %;;-512;4459;2;-449;-308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;630;;;;105,00 %;;;1371;10,43;0,87;1286;93,8 %;172;1286;172;1286
2020-04-11;Sat, 11;4565;1497;3066;44;104;0;104;0;-22,4 %;-206;310;2;32;814;812;;54,8;54,7;;-579;-208;15;756;;;;;;;;;;;0,75;0,78;-4 %;-36,9 %;;-682;4563;2;-474;-382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;649;;;;108,17 %;;;1303;9,92;0,85;1175;90,2 %;139;1175;139;1175
2020-04-12;Sun, 12;4637;1338;3297;51;72;0;72;0;-14,3 %;-159;231;7;37;802;800;;54,0;53,9;;-533;-162;61;802;;;;;;;;;;;0,77;0,79;-1 %;-32,9 %;;-686;4635;2;-392;-418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;668;;;;111,33 %;;;1249;9,51;0,84;1151;92,2 %;135;1151;135;1151
2020-04-13;Mon, 13;4698;1256;3440;52;61;0;61;0;-48,3 %;-82;143;1;36;745;743;;50,2;50,1;;-453;-82;141;882;;;;;;;;;;;0,78;0,78;-7 %;-37,9 %;;-629;4696;2;-454;-460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;672;;;;112,00 %;;;1165;8,87;0,81;1116;95,8 %;101;1116;101;1116
2020-04-14;Tue, 14;4784;1165;3617;63;86;0;86;0;-39,0 %;-91;177;11;45;690;688;;46,5;46,4;;-384;-13;210;951;;;;;;;;;;;0,81;0,78;-7 %;-33,1 %;;-603;4782;2;-340;-442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;676;;;;112,67 %;;;1137;8,65;0,79;1007;88,6 %;102;1007;102;1007
2020-04-15;Wed, 15;4892;1139;3751;67;108;0;108;0;-30,3 %;-26;134;4;43;641;641;;43,2;43,2;;-380;-9;214;955;;;;;;;;;;;0,81;0,78;-7 %;-32,7 %;;-645;4890;2;-311;-410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;662;;;;110,33 %;;;1078;8,20;0,77;960;89,1 %;145;960;145;960
2020-04-16;Thu, 16;4986;1150;3835;78;94;0;95;-1;-15,2 %;11;84;11;46;623;624;;42,0;42,0;;-376;-5;218;959;;;;;;;;;;;0,80;0,79;-3 %;-32,2 %;;-568;4985;1;-297;-388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;650;;;;108,33 %;;;1023;7,79;0,78;914;89,3 %;120;914;120;914
2020-04-17;Fri, 17;5079;1125;3953;87;93;0;93;0;-5,1 %;-25;118;9;45;618;619;;41,6;41,7;;-366;5;228;969;;;;;;;;;;;0,80;0,81;-1 %;-26,5 %;;-578;5078;1;-223;-356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;683;;;;113,83 %;;;1013;7,71;0,78;876;86,5 %;134;876;134;876
2020-04-18;Sat, 18;5125;1030;4094;94;46;0;46;0;-55,8 %;-95;141;7;50;560;561;;37,7;37,8;;-340;31;254;995;;;;;;;;;;;0,80;0,81;-9 %;-30,9 %;;-467;5124;1;-251;-324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;681;;;;113,50 %;;;945;7,19;0,77;857;90,7 %;120;857;120;857
2020-04-19;Sun, 19;5174;924;4249;99;49;0;49;0;-31,9 %;-106;155;5;48;537;538;;36,2;36,2;;-328;43;266;1007;;;;;;;;;;;0,82;0,81;-4 %;-32,8 %;;-414;5173;1;-262;-305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;695;;;;115,83 %;;;931;7,09;0,75;791;85,0 %;69;791;69;791
2020-04-20;Mon, 20;5206;844;4361;105;32;0;32;0;-47,5 %;-80;112;6;53;508;509;;34,2;34,3;;-274;97;320;1061;;;;;;;;;;;0,83;0,81;-5 %;-31,5 %;;-412;5205;1;-234;-274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;716;;;;119,33 %;;;902;6,86;0,73;748;82,9 %;58;748;58;748
2020-04-21;Tue, 21;5261;801;4459;108;55;0;55;0;-36,0 %;-43;98;3;45;477;478;;32,1;32,2;;-221;150;373;1114;;;;;;;;;;;0,81;0,81;-6 %;-30,5 %;;-364;5260;1;-210;-255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;707;;;;117,83 %;;;785;5,97;0,72;725;92,4 %;79;725;79;725
2020-04-22;Wed, 22;5318;754;4563;116;57;0;57;0;-47,2 %;-47;104;8;49;426;427;;28,7;28,8;;-183;188;411;1152;;;;;;;;;;;0,80;0,80;-11 %;-33,4 %;;-385;5317;1;-214;-242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;696;;;;116,00 %;;;703;5,35;0,72;666;94,7 %;86;666;86;666
2020-04-23;Thu, 23;5395;759;4635;130;77;0;77;0;-18,9 %;5;72;14;52;409;409;;27,6;27,6;;-167;204;427;1168;;;;;;;;;;;0,78;0,80;-4 %;-34,5 %;;-391;5394;1;-215;-230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;682;;;;113,67 %;;;648;4,93;0,74;634;97,8 %;88;634;88;634
2020-04-24;Fri, 24;5451;754;4696;137;56;0;56;0;-39,8 %;-5;61;7;50;372;372;;25,1;25,1;;-177;194;417;1158;;;;;;;;;;;0,76;0,79;-9 %;-39,9 %;;-371;5450;1;-247;-233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;658;;;;109,67 %;;;598;4,55;0,76;579;96,8 %;79;579;79;579
2020-04-25;Sat, 25;5498;715;4782;138;47;0;47;0;2,2 %;-39;86;1;44;373;373;;25,1;25,1;;-175;196;419;1160;;;;;;;;;;;0,76;0,78;0 %;-33,5 %;;-315;5497;1;-188;-224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;651;;;;108,50 %;;;551;4,19;0,78;516;93,6 %;57;516;57;516
2020-04-26;Sun, 26;5531;640;4890;142;33;0;33;0;-32,7 %;-75;108;4;43;357;357;;24,1;24,1;;-176;195;418;1159;;;;;;;;;;;0,77;0,78;-4 %;-33,6 %;;-284;5530;1;-181;-213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;647;;;;107,83 %;;;496;3,77;0,76;488;98,4 %;41;488;41;488
2020-04-27;Mon, 27;5611;624;4985;143;80;0;79;1;146,9 %;-16;95;1;38;405;404;;27,3;27,2;;-201;170;393;1134;;;;;;;;;;;0,83;0,80;13 %;-20,6 %;;-220;5609;2;-105;-194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;621;;;;103,50 %;;;475;3,61;0,74;458;96,4 %;28;458;28;458
2020-04-28;Tue, 28;5661;581;5078;157;50;0;50;0;-9,1 %;-43;93;14;49;400;399;;27,0;26,9;;-193;178;401;1142;;;;;;;;;;;0,91;0,83;-1 %;-16,5 %;;-220;5659;2;-79;-176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;580;;;;96,67 %;;;457;3,48;0,73;435;95,2 %;56;435;56;435
2020-04-29;Wed, 29;5702;576;5124;158;41;0;41;0;-28,1 %;-5;46;1;42;384;383;;25,9;25,8;;-157;214;437;1178;;;;;;;;;;;0,98;0,87;-4 %;-10,3 %;;-178;5700;2;-44;-151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;554;;;;92,33 %;;;403;3,07;0,73;393;97,5 %;44;393;44;393
2020-04-30;Thu, 30;5746;571;5173;166;44;0;44;0;-42,9 %;-5;49;8;36;351;350;;23,6;23,6;;-145;226;449;1190;;;;;;;;;;;1,02;0,90;-9 %;-14,4 %;;-188;5744;2;-59;-129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;530;;;;88,33 %;;;360;2,74;0,73;342;95,0 %;37;342;37;342
2020-05-01;Fri, 1;5805;598;5205;168;59;0;59;0;5,4 %;27;32;2;31;354;353;;23,9;23,8;;-157;214;437;1178;;;;;;;;;;;0,99;0,93;1 %;-5,1 %;;-156;5803;2;-19;-96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;520;;;;86,67 %;;;331;2,52;0,76;307;92,7 %;44;307;44;307
2020-05-02;Sat, 2;5838;576;5260;169;33;0;33;0;-29,8 %;-22;55;1;31;340;339;;22,9;22,8;;-157;214;437;1178;;;;;;;;;;;0,93;0,94;-4 %;-9,1 %;;-139;5836;2;-34;-74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;501;;;;83,50 %;;;308;2,34;0,76;275;89,3 %;25;275;25;275
2020-05-03;Sun, 3;5863;544;5317;169;25;0;25;0;-24,2 %;-32;57;0;27;332;331;;22,4;22,3;;-103;268;491;1232;;;;;;;;;;;0,89;0,95;-2 %;-7,3 %;;-96;5861;2;-26;-52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;490;;;;81,67 %;;;292;2,22;0,76;264;90,4 %;30;264;30;264
2020-05-04;Mon, 4;5897;501;5394;173;34;0;34;0;-57,0 %;-43;77;4;30;286;286;;19,3;19,3;;-87;284;507;1248;;;;;;;;;;;0,85;0,93;-14 %;-29,2 %;;-123;5895;2;-118;-54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;502;;;;83,67 %;;;275;2,09;0,74;254;92,4 %;18;254;18;254
2020-05-05;Tue, 5;5927;475;5450;179;30;0;30;0;-40,0 %;-26;56;6;22;266;266;;17,9;17,9;;-76;295;518;1259;;;;;;;;;;;0,82;0,88;-7 %;-33,3 %;;-106;5925;2;-133;-62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;481;;;;80,17 %;;;240;1,83;0,71;249;103,8 %;51;249;51;249
2020-05-06;Wed, 6;5946;447;5497;192;19;0;19;0;-53,7 %;-28;47;13;34;244;244;;16,4;16,4;;-51;320;543;1284;;;;;;;;;;;0,79;0,84;-8 %;-36,3 %;;-129;5944;2;-139;-75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00 %;;;;;;460;;;;76,67 %;;;240;1,83;0,71;235;97,9 %;30;235;30;235
